IdUsuario,Edad,Pais,GeneroFavorito,HorasVisualizadas,Dispositivo,Calificacion,TipoSuscripcion,Idioma,MetodoPago,Resolucion,NivelUsuario
55,6,México,Acción,11.24,Tablet,3,Básica,Portugués,Transferencia,4K,Frecuente
56,8,Estados Unidos,Ciencia Ficción,2.27,Tablet,2,Premium,Inglés,PayPal,1080p,Ocasional
57,8,Estados Unidos,Drama,7.93,Celular,2,Premium,Español,Tarjeta de Crédito,720p,Frecuente
58,10,España,Romance,8.66,Smart TV,2,Estándar,Portugués,Transferencia,720p,Frecuente
59,11,México,Ciencia Ficción,11.92,Laptop,3,Premium,Portugués,PayPal,720p,Frecuente
60,12,Brasil,Terror,6.33,Smart TV,5,Premium,Inglés,Transferencia,720p,Activo
61,12,Estados Unidos,Romance,11.8,Celular,5,Estándar,Español,Tarjeta de Crédito,720p,Frecuente
62,5,Perú,Terror,8.6,Celular,4,Estándar,Inglés,Tarjeta de Crédito,4K,Frecuente
63,6,Colombia,Documental,11.77,Tablet,3,Estándar,Portugués,PayPal,4K,Frecuente
64,12,Canadá,Acción,1.49,Celular,1,Premium,Inglés,Transferencia,1080p,Ocasional
65,7,Estados Unidos,Acción,6.7,Celular,4,Premium,Inglés,Transferencia,720p,Activo
66,11,Brasil,Drama,3.11,Smart TV,5,Premium,Portugués,Tarjeta de Regalo,1080p,Activo
67,9,Argentina,Animación,9.63,Celular,1,Estándar,Inglés,Tarjeta de Crédito,1080p,Frecuente
68,12,Perú,Romance,1.02,Tablet,2,Premium,Inglés,Tarjeta de Regalo,4K,Ocasional
69,8,Perú,Drama,5.09,Tablet,3,Premium,Portugués,Tarjeta de Crédito,4K,Activo
70,6,Estados Unidos,Animación,5.27,Tablet,4,Premium,Español,Tarjeta de Regalo,1080p,Activo
71,11,Canadá,Ciencia Ficción,2.29,Laptop,5,Estándar,Portugués,Transferencia,4K,Ocasional
72,5,Chile,Terror,11.43,Smart TV,5,Estándar,Español,PayPal,720p,Frecuente
73,9,Chile,Acción,2.51,Tablet,3,Básica,Inglés,Transferencia,720p,Ocasional
74,6,México,Romance,6.6,Laptop,1,Básica,Español,Tarjeta de Crédito,720p,Activo
75,5,Colombia,Documental,4.01,Celular,4,Premium,Portugués,Tarjeta de Regalo,1080p,Activo
76,5,México,Romance,6.62,Smart TV,1,Básica,Español,PayPal,720p,Activo
77,12,Canadá,Drama,7.73,Celular,2,Básica,Portugués,Transferencia,720p,Frecuente
78,10,Estados Unidos,Documental,0.69,Tablet,2,Estándar,Portugués,PayPal,1080p,Ocasional
79,7,Brasil,Documental,6.22,Tablet,3,Premium,Inglés,Transferencia,1080p,Activo
80,11,Perú,Documental,9.58,Laptop,5,Premium,Portugués,Transferencia,1080p,Frecuente
81,8,Colombia,Animación,2.09,Laptop,4,Básica,Español,Tarjeta de Crédito,1080p,Ocasional
82,11,Canadá,Comedia,2.97,Laptop,5,Estándar,Español,Transferencia,4K,Ocasional
83,7,México,Terror,3.42,Tablet,5,Básica,Portugués,Transferencia,720p,Activo
84,10,Estados Unidos,Comedia,3.11,Celular,3,Básica,Portugués,PayPal,1080p,Activo
85,12,Argentina,Drama,10.95,Tablet,2,Estándar,Inglés,Tarjeta de Crédito,4K,Frecuente
86,9,España,Terror,10.33,Laptop,2,Básica,Inglés,Tarjeta de Regalo,4K,Frecuente
87,6,Brasil,Acción,4.07,Laptop,4,Estándar,Español,PayPal,4K,Activo
88,5,Perú,Drama,9.85,Celular,4,Básica,Portugués,Tarjeta de Crédito,1080p,Frecuente
89,12,México,Acción,11.1,Laptop,5,Premium,Portugués,Transferencia,4K,Frecuente
90,6,Estados Unidos,Terror,6.78,Laptop,3,Premium,Inglés,Transferencia,1080p,Activo
91,11,Colombia,Ciencia Ficción,7.93,Celular,2,Premium,Español,PayPal,720p,Frecuente
92,10,México,Romance,4.52,Celular,1,Estándar,Español,Tarjeta de Regalo,4K,Activo
93,10,Estados Unidos,Romance,8.16,Smart TV,2,Premium,Portugués,Tarjeta de Crédito,4K,Frecuente
94,12,México,Terror,1.25,Tablet,2,Estándar,Inglés,Tarjeta de Crédito,1080p,Ocasional
95,6,Brasil,Terror,9.85,Laptop,2,Premium,Español,Transferencia,1080p,Frecuente
96,8,Brasil,Comedia,2.05,Smart TV,1,Básica,Inglés,PayPal,720p,Ocasional
97,8,España,Drama,5.03,Tablet,4,Básica,Portugués,PayPal,4K,Activo
98,6,Estados Unidos,Comedia,10.69,Celular,2,Estándar,Inglés,Tarjeta de Regalo,720p,Frecuente
99,5,Canadá,Acción,11.88,Smart TV,5,Básica,Portugués,Tarjeta de Regalo,720p,Frecuente
100,12,Estados Unidos,Animación,5.64,Laptop,4,Básica,Español,Tarjeta de Regalo,720p,Activo
